Timestamp,Status,MC_Ping,Sys_Ping,Players
17:10:52,Online,803,8,30940/200000
17:11:00,Online,821,8,30938/200000
17:11:08,Online,860,9,30944/200000
17:11:16,Online,1108,8,30958/200000
17:11:24,Online,848,8,30943/200000
17:11:32,Online,809,9,30953/200000
17:11:40,Online,902,7,30969/200000
17:11:48,Online,846,9,30967/200000
17:11:56,Online,909,8,30958/200000
17:12:04,Online,871,8,30956/200000
17:12:12,Online,787,9,30941/200000
17:12:20,Online,834,8,30950/200000
17:12:28,Online,838,8,30952/200000
17:12:36,Online,821,10,30979/200000
17:12:44,Online,806,8,30969/200000
17:12:52,Online,809,9,30964/200000
